n	y	eta
255	1.75961	1.75974
256	4.73134	4.73338
257	1.08272	1.08285
258	1.45098	1.45133
259	-3.75217	3.75257
260	-1.4281	1.42819
261	0.156398	0.156418
262	0.561016	0.561129
263	-1.5234	1.52353
264	2.77154	2.77217
265	0.738509	0.738814
266	1.81396	1.8141
267	2.00654	2.00671
268	-1.65602	1.65616
269	-4.50648	4.52015
270	3.45601	3.45649
271	1.23792	1.23812
272	-1.6602	1.66051
273	2.14545	2.14555
274	-0.156836	0.156868
275	2.25738	2.25758
276	3.23727	3.23763
277	4.09862	4.10029
278	-0.881474	0.881764
279	-2.07547	2.07572
280	4.52134	4.52152
281	-0.339374	0.339816
282	4.58682	4.58704
283	2.66719	2.66775
284	-4.23959	4.23983
285	3.3483	3.34844
286	0.413836	0.419317
287	2.40377	2.40394
288	1.90686	1.9181
289	3.54442	3.54465
290	-2.05751	2.06113
291	-4.83491	4.83508
292	3.21558	3.21571
293	-0.0219423	0.0219498
294	-3.16107	3.16135
295	-0.775831	0.775949
296	1.56562	1.56577
297	2.69558	2.69738
298	-4.44804	4.46605
299	4.08324	4.08341
300	-1.47652	1.47689
301	-4.47121	4.47137
302	-2.98225	2.98253
303	2.69095	2.69111
304	-2.51822	2.51978
305	-4.32537	4.33861
306	-2.96283	2.96297
307	1.60404	1.60413
308	-4.89658	4.89678
309	-2.41314	2.4134
310	4.48468	4.48541
311	-1.69737	1.69941
312	0.695822	0.695913
313	-2.79726	2.7988
314	1.36099	1.36114
315	2.56016	2.56026
316	3.71751	3.71776
317	3.82178	3.82191
318	1.0215	1.02232
319	4.65987	4.66007
320	-2.2519	2.25201
321	-1.07245	1.11219
322	-3.82579	3.82591
323	0.0380243	0.0380309
324	-2.88632	2.88667
325	-1.78001	1.78021
326	-0.564091	0.564623
327	2.64865	2.64875
328	2.52084	2.52094
329	1.37952	1.38122
330	-3.86264	3.86478
331	-1.23371	1.2338
332	-2.97138	2.97179
333	-4.40987	4.41013
334	4.10079	4.1009
335	1.5534	1.55362
336	-4.4155	4.41562
337	1.63417	1.63438
338	-3.98747	3.98769
339	-1.96366	1.96432
340	4.29707	4.2986
341	-0.275438	0.275842
342	-2.22105	2.22139
343	-1.13529	1.13538
344	-2.7754	2.77551
345	-0.818379	0.818986
346	-0.816097	0.816284
347	-1.78317	1.78472
348	-4.46402	4.46572
349	-0.737354	0.737424
350	-0.94304	0.943141
351	-3.51434	3.53275
352	-3.703	3.70325
353	1.40016	1.40046
354	4.79202	4.79214
355	0.435739	0.435799
356	0.692827	0.692888
357	-2.17793	2.17813
358	-2.46649	2.46732
359	3.77157	3.8112
360	1.93101	1.93156
361	3.12008	3.12023
362	-4.0989	4.09908
363	2.32744	2.32762
364	0.143866	0.143895
365	-3.92615	3.92629
366	-2.59387	2.59427
367	-1.15772	1.15889
368	-4.32066	4.32077
369	1.01266	1.01275
370	4.67894	4.67913
371	4.56044	4.57761
372	-3.3913	3.39165
373	-1.15645	1.15914
374	4.06929	4.06972
375	3.90033	3.90274
376	0.568316	0.56862
377	2.11522	2.11631
378	3.35731	3.36501
379	2.9065	2.90757
380	1.03274	1.03286
381	-2.298	2.2982
382	-3.46014	3.46115
383	-2.85799	2.8583
384	1.78673	1.78696
385	-2.30945	2.31056
386	4.60307	4.60339
387	-3.16256	3.16273
388	-0.366504	0.368326
389	0.353991	0.354479
390	3.29611	3.30042
391	4.70309	4.70496
392	-3.72527	3.726
393	-4.66615	4.66627
394	-3.73903	3.73926
395	-1.86678	1.86721
396	2.2207	2.22407
397	0.732589	0.732696
398	-2.62048	2.62077
399	-4.02025	4.02039
