n	y	eta
257	-0.429307	0.439015
258	3.61243	3.63753
259	4.15509	4.18277
260	-1.09296	2.20234
261	3.04654	3.10865
262	-4.13938	4.19038
263	0.827546	0.86461
264	-3.89859	4.18725
265	0.89516	0.907502
266	-3.58244	3.64597
267	-3.25891	4.27014
268	2.41327	2.42966
269	4.33173	4.359
270	-4.70472	4.7475
271	-1.41375	1.44744
272	-4.64025	4.67835
273	4.14307	4.16747
274	2.07005	2.10402
275	2.69583	2.71943
276	-1.97751	2.4107
277	3.41469	3.65943
278	-1.547	1.95339
279	-3.48074	4.28229
280	3.23742	3.30074
281	-0.698324	0.709179
282	-0.173615	0.227277
283	0.00144429	0.00151727
284	1.21453	1.66884
285	-1.51214	1.6487
286	-2.694	2.77754
287	-0.318699	0.340207
288	0.231042	0.288181
289	-3.36206	3.4134
290	-2.87747	2.89793
291	-1.72181	3.51601
292	0.0761325	0.0788268
293	4.02814	4.05885
294	0.935117	0.949491
295	-1.91646	2.28834
296	2.96181	3.02646
297	-1.17249	1.23492
298	-1.57201	1.59612
299	0.0278563	0.0283617
300	-1.83788	1.86735
301	1.15232	1.83623
302	0.589815	0.60169
303	3.13387	3.15589
304	-0.342005	0.347659
305	-1.87805	1.98464
306	4.10557	4.27469
307	-3.07445	3.46271
308	3.09302	3.11647
309	-2.28917	2.58825
310	-3.49892	3.9041
311	3.20067	3.22005
312	-1.82041	1.86111
313	-2.74891	2.88123
314	-4.14287	4.21358
315	1.25009	1.51373
316	0.794663	0.831799
317	4.48738	4.51669
318	-1.76396	1.81538
319	-2.79466	2.83938
320	2.39305	3.448
321	-0.325435	0.376114
322	-3.27257	3.40661
323	-4.31968	4.33638
324	2.5538	2.68549
325	-1.15141	1.17067
326	4.18553	4.22891
327	3.51778	3.57154
328	-0.92255	0.938317
329	3.97271	6.58383
330	3.04783	4.45946
331	3.95384	4.18532
332	2.62522	2.65716
333	0.226968	0.23205
334	1.06247	1.11231
335	3.7553	3.89811
336	-2.24041	2.37658
337	4.95414	5.64725
338	-4.97002	4.99031
339	-0.692524	0.72663
340	-0.974373	1.00323
341	1.63867	1.74165
342	-4.79466	6.54663
343	0.576287	0.859371
344	0.925331	1.58957
345	4.21737	4.49672
346	4.77179	4.80957
347	2.81565	2.87959
348	1.61244	1.69951
349	3.25827	3.32624
350	-4.52508	4.61401
351	1.13043	1.22369
352	-4.55656	4.81326
353	2.72153	2.74028
354	1.71904	1.75931
355	3.05721	3.07845
356	-4.81492	5.94236
357	-1.04417	1.05844
358	4.85233	4.87119
359	-0.326795	0.485739
360	-0.918893	1.10861
361	4.75082	4.98578
362	-2.93821	2.99451
363	-3.75009	3.77847
364	-4.39091	4.40996
365	-3.65087	3.67593
366	1.52176	1.57694
367	-0.681482	0.738238
368	-1.43587	1.47455
369	2.43861	2.45579
370	-0.93094	1.52906
371	-3.97216	4.41364
372	-4.8083	8.80475
373	-0.355444	0.360879
374	-0.484218	0.493619
375	0.821694	0.841874
376	-1.79166	2.38513
377	-2.55021	3.77946
378	-1.86101	2.04499
379	-1.05564	1.22146
380	-1.79212	2.92632
381	-0.167923	0.170832
382	-2.22695	2.24885
383	1.69483	1.86753
384	-3.80935	4.16834
385	1.62035	2.85472
386	4.62927	4.68259
387	4.51385	4.53054
388	-2.36814	2.73795
389	4.865	4.94398
390	-1.52384	1.98603
391	0.744526	0.824907
392	-3.74079	3.77801
393	-3.04537	3.62221
394	-3.10599	3.44574
395	3.14626	5.31658
396	-3.80753	3.89575
397	-0.168471	0.221321
398	-2.87106	2.90256
399	-4.6973	4.82055
400	0.659807	0.717545
401	3.57929	4.75175
402	-0.428766	0.445061
403	0.110039	0.118612
404	-2.74846	6.31684
405	-0.649273	0.94915
406	-4.33827	4.35441
407	-2.5878	2.62736
408	3.28957	3.83278
409	1.31912	1.33365
410	-4.73419	5.39662
411	0.285471	0.294074
412	2.44373	2.45977
413	0.423801	0.431274
414	-3.35664	3.8132
415	-2.10776	2.17523
416	-2.35046	2.38066
417	-2.40776	2.48089
418	4.56467	4.61598
419	-0.576135	0.595896
420	-2.32268	2.34915
421	2.5439	2.66836
422	3.86985	3.88565
423	0.259975	0.280602
424	-0.677072	0.696522
425	2.34299	3.20275
426	1.04449	1.09634
427	1.04702	1.16605
428	-2.25454	2.28462
429	-1.93912	2.49293
430	2.19732	2.5043
431	-3.30801	3.32449
432	2.42465	2.88616
433	2.06764	2.15595
434	-3.01349	3.04442
435	3.80552	4.84389
436	-4.7339	4.91395
437	3.00287	3.02532
438	1.30553	1.40723
439	1.29535	1.31281
440	-0.158058	0.188401
441	0.217195	0.222123
442	1.2668	1.29036
443	-0.625357	0.638749
444	-2.26496	2.32618
445	-1.59891	1.61364
446	-1.61136	3.83274
447	4.77923	4.80125
448	4.37731	4.48137
449	2.80262	2.83141
450	3.33837	3.47127
451	1.02764	1.05057
452	-2.04243	2.33965
453	2.7404	2.76149
454	2.29335	2.59603
455	4.89155	4.93747
456	2.6741	4.77736
457	-1.97828	2.23686
458	1.37296	1.43
459	-2.04683	2.06896
460	-0.168116	0.200667
461	4.04037	4.07702
462	-3.55267	3.57898
463	4.03382	4.05595
464	0.666458	0.729855
465	-2.81155	3.10304
466	-1.55542	1.58916
467	-2.39071	2.55711
468	-2.7534	2.77118
469	0.665242	0.676244
470	-0.614556	1.03602
471	-3.32475	3.36833
472	-4.33446	5.46502
473	1.00044	1.06787
474	-2.90667	2.93116
475	1.14651	1.22657
476	0.307859	1.20552
477	0.145742	0.163204
478	-0.99353	1.30972
479	2.57982	2.59738
480	-3.984	4.00106
481	-1.32225	1.92595
482	2.98437	3.1784
483	-4.13728	4.15433
484	1.63673	1.77302
485	4.77092	4.79526
486	-2.91525	2.94539
487	-1.91829	1.9879
488	1.14313	1.16208
489	4.7888	4.82512
490	3.03576	3.35623
491	0.161682	0.183247
492	-3.87782	3.89542
493	-4.90119	6.84397
494	-0.513016	0.538167
495	-0.198424	0.395068
496	2.44691	2.47804
497	4.96356	5.79209
498	-0.233631	0.23877
499	0.66224	0.679581
500	2.35424	3.17198
501	-2.57473	2.59415
502	1.87932	2.56366
503	-2.81071	2.90204
504	-0.410857	0.427277
505	-3.74108	3.8065
506	2.91338	3.07763
507	0.968526	0.986323
508	1.72803	1.97851
509	-0.835789	0.854253
510	-1.25403	1.2749
511	1.71799	1.7429
512	2.44512	2.56659
513	1.62415	1.66903
514	2.50783	2.55811
515	-1.38542	3.19709
516	2.71955	2.9918
517	-0.698941	1.36986
518	-3.45315	3.60495
519	2.62133	2.85798
520	3.46843	3.49393
521	3.76089	3.93375
522	0.300854	0.915154
523	0.417375	0.434587
524	-4.20325	4.2217
525	-1.75611	2.51413
526	3.54737	3.56313
527	0.735596	0.935994
528	1.64343	1.69339
529	3.20397	3.5731
530	-0.35387	0.366844
531	4.01333	4.06716
532	2.85841	2.98029
533	1.96455	1.98373
534	4.80473	5.66634
535	0.541247	0.559042
536	-1.53387	1.98698
537	-0.34503	0.354125
538	4.03156	4.04755
539	-4.20414	4.22078
540	4.65393	4.96314
541	-0.628963	0.649907
542	-0.998363	1.01075
543	-0.806209	0.819896
544	-2.53362	2.58811
545	-0.203668	0.220684
546	-0.783681	0.937602
547	4.47818	4.52229
548	2.12404	2.28092
549	-3.52001	3.61608
550	-3.9714	4.05967
551	0.201931	0.400481
552	-3.67662	3.69306
553	-1.73829	1.7552
554	4.92925	5.2472
555	-4.81675	4.83519
556	3.09732	3.89778
557	2.78448	2.82898
558	-0.339079	0.352876
559	-2.25597	2.33475
560	-0.623964	0.656565
561	-0.760199	0.7794
562	-3.64998	3.84589
563	-4.33291	4.36458
564	-4.83929	4.88557
565	0.402837	0.413073
566	4.16831	4.18833
567	0.684046	0.695436
568	-4.53833	4.56306
569	-4.15337	4.17161
570	-1.99667	2.02025
571	4.97409	4.9994
572	0.584165	0.610573
573	-1.80039	1.81666
574	4.73685	5.05419
575	2.37238	2.71539
576	-1.516	1.54629
577	-2.29476	3.97971
578	0.330165	0.374227
579	-1.69192	2.39234
580	0.519401	0.532845
581	1.68019	2.75277
582	4.31569	4.36948
583	0.179401	0.182444
584	-3.69001	3.96952
585	-4.83173	5.32351
586	2.0559	2.07183
587	0.413965	0.440673
588	2.90094	2.93012
589	-2.11485	2.16712
590	-0.442794	0.45002
591	-3.24932	3.29016
592	-3.13028	3.77855
593	-2.12478	2.19835
594	2.82824	3.05054
595	-2.30924	2.43403
596	-0.105776	0.107931
597	3.03535	3.44277
598	-3.26481	3.37517
599	-1.01273	1.0861
600	4.24078	4.61331
601	2.3585	2.54812
602	-0.702088	0.747843
603	3.93675	3.98465
604	-3.61397	3.65154
605	4.83665	5.1542
606	-2.92056	2.95317
607	-1.01556	1.2333
608	1.04324	1.12492
609	-3.85096	4.09196
610	-1.95703	2.18047
611	2.21913	2.26193
612	-1.78925	3.05289
613	-2.8529	5.65071
614	3.46924	3.70807
615	2.99111	3.04191
616	-4.71008	5.71472
617	-0.993295	1.74245
618	3.12206	3.20733
619	1.78668	1.80472
620	-0.23464	0.266773
621	0.451331	0.49737
622	3.21066	3.23027
623	-4.20604	4.64742
624	1.29544	1.33051
625	3.12539	3.14586
626	0.782793	1.60683
627	2.2756	2.29926
628	-4.40099	4.42077
629	-1.06053	1.07892
630	0.557076	0.577732
631	1.77827	2.13448
632	2.28018	2.30148
633	-4.56518	5.45078
634	-1.27157	1.33557
